By village - cases over time,,,,,Y1,,,,Y2,,,,Y3,,,,Y4,,,,Y5,,,,Y6,,,,Y7,,,,Y8,,,,Y9,,,,Y10,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,,R0 base,R0 Y1-Y3,R0 Y4-Y10,VC applied? ,VC effectiveness Y1-Y3,VC effectiveness Y4-Y10,AS attendance Y1-Y3,AS attendance Y4-Y10
1,13,10,9,8,8,2,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.56,0.51,0.32,1,89%,93%,76%,96%
2,11,11,5,6,6,6,3,3,3,3,2,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.36,0.81,0.30,1,76%,91%,46%,66%
3,15,13,9,3,4,2,2,2,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.33,0.32,0.19,1,93%,96%,55%,83%
4,14,13,17,19,6,6,7,10,1,3,4,3,2,2,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.28,5.28,5.28,0,0%,0%,80%,98%
5,11,10,10,9,7,4,3,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.42,0.18,0.15,1,96%,97%,45%,50%
6,10,8,2,2,2,3,3,4,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,,4.51,0.62,0.08,1,86%,98%,82%,90%
7,8,8,8,4,4,4,4,1,2,3,3,0,0,1,1,1,2,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,5.17,0.99,0.85,1,81%,84%,58%,61%
8,10,9,11,13,11,14,12,12,12,12,15,14,11,11,11,14,13,13,13,13,12,12,10,11,7,7,9,12,9,9,9,10,5,5,3,3,4,3,3,2,2,,5.41,1.24,1.21,1,77%,78%,15%,19%
9,8,8,7,6,7,1,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.27,0.19,0.04,1,94%,99%,84%,98%
10,14,13,5,5,3,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,5.82,1.74,0.36,1,70%,94%,84%,87%
11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,,4.83,0.56,0.48,1,88%,90%,33%,83%
12,8,8,8,9,2,2,2,3,2,2,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.84,0.58,0.00,1,85%,100%,74%,96%
13,2,1,2,2,2,2,1,2,2,2,2,2,4,4,5,5,6,4,4,4,2,1,1,1,1,1,2,2,2,1,1,1,1,0,1,2,3,0,2,2,2,,4.68,1.42,1.22,1,70%,74%,18%,61%
14,7,7,2,2,4,7,4,7,6,8,5,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.55,5.55,5.55,0,0%,0%,51%,79%
15,13,12,8,4,6,7,7,3,4,6,6,5,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.11,1.55,0.65,1,70%,87%,66%,98%
16,15,12,13,15,3,5,6,6,2,2,4,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.29,4.29,4.29,0,0%,0%,78%,97%
17,7,2,3,4,4,1,2,2,2,1,1,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.97,3.97,3.97,0,0%,0%,59%,93%
18,11,11,2,3,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.68,0.46,0.25,1,88%,93%,67%,79%
19,12,12,11,7,9,11,13,8,8,7,7,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.21,1.39,0.45,1,67%,89%,30%,62%
20,13,13,16,17,6,4,5,5,2,2,3,5,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2.65,1.32,1.24,1,50%,53%,85%,91%
21,16,5,5,6,8,1,1,2,5,2,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.82,2.82,2.82,0,0%,0%,71%,96%
22,12,11,4,4,4,5,2,2,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.63,0.47,0.11,1,82%,96%,57%,72%
23,10,9,9,6,4,5,5,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.15,0.78,0.61,1,75%,80%,39%,81%
24,8,8,8,6,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.18,0.23,0.09,1,93%,97%,59%,60%
25,9,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.76,3.76,3.76,0,0%,0%,17%,65%
26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.00,0.37,0.36,1,91%,91%,74%,87%
27,12,10,9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.75,2.75,2.75,0,0%,0%,71%,78%
28,6,5,8,8,10,10,9,9,11,13,14,16,13,15,18,20,14,16,12,14,6,7,8,10,4,3,4,4,1,2,3,3,3,5,6,7,3,3,4,6,6,,3.83,3.83,3.83,0,0%,0%,24%,60%
29,12,8,8,11,12,5,5,8,10,5,4,6,9,5,7,6,9,4,4,4,3,3,3,4,5,3,3,5,6,2,2,4,3,1,1,1,0,0,0,0,0,,3.70,3.70,3.70,0,0%,0%,64%,65%
30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.60,0.44,0.13,1,88%,96%,71%,86%
31,14,12,13,2,3,3,4,1,2,1,1,1,1,0,0,0,1,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.98,0.75,0.57,1,85%,89%,63%,86%
32,12,12,11,11,10,11,10,12,7,7,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,,3.04,0.38,0.15,1,88%,95%,28%,53%
33,5,3,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.13,0.19,0.09,1,96%,98%,73%,89%
34,15,11,5,4,4,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.26,0.45,0.37,1,86%,89%,67%,80%
35,17,13,9,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.65,2.07,1.04,1,63%,82%,82%,91%
36,6,6,5,5,4,6,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.63,3.63,3.63,0,0%,0%,80%,83%
